Unit,Name,Adjacency,Population
01001,Autauga County,01021|01047|01051|01085|01101,55869
01003,Baldwin County,01025|01053|01097|01099|01129|12033,223234
01005,Barbour County,01011|01045|01067|01109|01113|13061|13239|13259,24686
01007,Bibb County,01021|01065|01073|01105|01117|01125,22394
01009,Blount County,01043|01055|01073|01095|01115|01127,57826
01011,Bullock County,01005|01087|01101|01109|01113,10101
01013,Butler County,01035|01039|01041|01085|01099|01131,19448
01015,Calhoun County,01019|01029|01055|01115|01121,113605
01017,Chambers County,01081|01111|01123|13145|13285,33254
01019,Cherokee County,01015|01029|01049|01055|13055|13115|13233,26196
01021,Chilton County,01001|01007|01037|01047|01051|01105|01117,44428
01023,Choctaw County,01025|01091|01119|01129|28023|28075|28153,12589
01025,Clarke County,01003|01023|01091|01099|01129|01131,23622
01027,Clay County,01029|01037|01111|01121|01123,13235
01029,Cleburne County,01015|01019|01027|01111|01121|13045|13143|13233,14910
01031,Coffee County,01039|01041|01045|01061|01109,52342
01033,Colbert County,01059|01077|01079|28141,55241
01035,Conecuh County,01013|01039|01053|01099,12067
01037,Coosa County,01021|01027|01051|01117|01121|01123,10663
01039,Covington County,01013|01031|01035|01041|01053|01061|12091|12131,37049
01041,Crenshaw County,01013|01031|01039|01085|01101|01109,13772
01043,Cullman County,01009|01079|01095|01103|01127|01133,83768
01045,Dale County,01005|01031|01061|01067|01069|01109,49172
01047,Dallas County,01001|01021|01085|01091|01105|01131,37196
01049,DeKalb County,01019|01055|01071|01095|13055|13083|13295,71513
01051,Elmore County,01001|01021|01037|01087|01101|01123,81209
01053,Escambia County,01003|01035|01039|01099|12033|12091|12113,36633
01055,Etowah County,01009|01015|01019|01049|01095|01115,102268
01057,Fayette County,01075|01093|01107|01125|01127,16302
01059,Franklin County,01033|01079|01093|01133|28057|28141,31362
01061,Geneva County,01031|01039|01045|01069|12059|12063|12131,26271
01063,Greene County,01065|01091|01107|01119|01125,8111
01065,Hale County,01007|01063|01091|01105|01125,14651
01067,Henry County,01005|01045|01069|13061|13099,17205
01069,Houston County,01045|01061|01067|12063|13099|13253,105882
01071,Jackson County,01049|01089|01095|13083|47051|47115,51626
01073,Jefferson County,01007|01009|01115|01117|01125|01127,658573
01075,Lamar County,01057|01093|01107|28087|28095,13805
01077,Lauderdale County,01033|01079|01083|28141|47055|47071|47099|47181,92729
01079,Lawrence County,01033|01043|01059|01077|01083|01103|01133,32924
01081,Lee County,01017|01087|01113|01123|13145|13215,164542
01083,Limestone County,01077|01079|01089|01103|47055|47103,98915
01085,Lowndes County,01001|01013|01041|01047|01101|01131,9726
01087,Macon County,01011|01051|01081|01101|01113|01123,18068
01089,Madison County,01071|01083|01095|01103|47051|47103,372909
01091,Marengo County,01023|01025|01047|01063|01065|01105|01119|01131,18863
01093,Marion County,01057|01059|01075|01127|01133|28057|28095,29709
01095,Marshall County,01009|01043|01049|01055|01071|01089|01103,96774
01097,Mobile County,01003|01129|28039|28041|28059,413210
01099,Monroe County,01003|01013|01025|01035|01053|01131,20733
01101,Montgomery County,01001|01011|01041|01051|01085|01087|01109,226486
01103,Morgan County,01043|01079|01083|01089|01095,119679
01105,Perry County,01007|01021|01047|01065|01091,8923
01107,Pickens County,01057|01063|01075|01119|01125|28087|28103,19930
01109,Pike County,01005|01011|01031|01041|01045|01101,33114
01111,Randolph County,01017|01027|01029|01123|13045|13149|13285,22722
01113,Russell County,01005|01011|01081|01087|13053|13215|13259,57961
01115,St. Clair County,01009|01015|01055|01073|01117|01121,89512
01117,Shelby County,01007|01021|01037|01073|01115|01121,217702
01119,Sumter County,01023|01063|01091|01107|28069|28075|28103,12427
01121,Talladega County,01015|01027|01029|01037|01115|01117,79978
01123,Tallapoosa County,01017|01027|01037|01051|01081|01087|01111,40367
01125,Tuscaloosa County,01007|01057|01063|01065|01073|01107|01127,209355
01127,Walker County,01009|01043|01057|01073|01093|01125|01133,63521
01129,Washington County,01003|01023|01025|01097|28041|28153,16326
01131,Wilcox County,01013|01025|01047|01085|01091|01099,10373
01133,Winston County,01043|01059|01079|01093|01127,23629
02013,Aleutians East Borough,02016|02164,3337
02016,Aleutians West Census Area,02013,5634
02020,Anchorage Municipality,02122|02170|02261,288000
02050,Bethel Census Area,02070|02122|02164|02170|02270|02290,18386
02060,Bristol Bay Borough,02070|02164,836
02068,Denali Borough,02090|02170|02240|02290,2097
02070,Dillingham Census Area,02050|02060|02164,4916
02090,Fairbanks North Star Borough,02068|02240|02290,96849
02100,Haines Borough,02105|02110|02230,2530
02105,Hoonah-Angoon Census Area,02100|02110|02195|02220|02282,2148
02110,Juneau City and Borough,02100|02105,31974
02122,Kenai Peninsula Borough,02020|02050|02150|02164|02170|02261,58708
02130,Ketchikan Gateway Borough,02198|02275,13901
02150,Kodiak Island Borough,02122|02164,12998
02270,Wade Hampton Census Area,02050|02180|02290,8314
02164,Lake and Peninsula Borough,02013|02050|02060|02070|02122|02150,1592
02170,Matanuska-Susitna Borough,02020|02050|02068|02122|02240|02261|02290,108317
02180,Nome Census Area,02188|02270|02290,10004
02185,North Slope Borough,02188|02290,9832
02188,Northwest Arctic Borough,02180|02185|02290,7621
02195,Petersburg Census Area,02105|02198|02220|02275,3266
02198,Prince of Wales-Hyder Census Area,02130|02195|02275,6203
02220,Sitka City and Borough,02105|02195,8493
02230,Skagway Municipality,02100,1183
02240,Southeast Fairbanks Census Area,02068|02090|02170|02261|02290,6893
02261,Valdez-Cordova Census Area,02020|02122|02170|02240|02282,9202
02275,Wrangell City and Borough,02130|02195|02198,2502
02282,Yakutat City and Borough,02105|02261,579
02290,Yukon-Koyukuk Census Area,02050|02068|02090|02170|02180|02185|02188|02240|02270,5230
04001,Apache County,04009|04011|04017|08083|35003|35006|35031|35045|49037,71887
04003,Cochise County,04009|04011|04019|04023|35023,125922
04005,Coconino County,04007|04015|04017|04025|49025|49037,143476
04007,Gila County,04005|04009|04013|04017|04021|04025,54018
