Unit,Name,Adjacency,Population,Firearms,Area (mi2),Land (mi2),GDP ($1m),Food ($1k),% Urban
AL,Alabama,MS|TN|GA|FL,4908621,161641,52420,50645,232145,4103235,59.00%
AK,Alaska,,734002,15824,665384,570641,55430,52987,66.00%
AZ,Arizona,CA|NV|UT|NM,7378494,179738,113990,113594,368556,3065603,89.80%
AR,Arkansas,MO|TN|MS|LA|TX|OK,3038999,79841,53179,52035,134022,6604400,56.20%
CA,California,OR|NV|AZ,39937489,344622,163695,155779,3155224,31835183,95.00%
CO,Colorado,WY|NE|KS|OK|NM|UT,5845526,92435,104094,103642,392348,5501155,86.20%
CT,Connecticut,NY|MA|RI,3563077,82400,5543,4842,287560,526580,88.00%
DE,Delaware,MD|PA|NJ,982895,4852,2489,1949,75765,933843,83.30%
DC,District of Columbia,MD|VA,633427,164058,68,61,146996,0,100.00%
FL,Florida,AL|GA,21992985,343288,65758,53625,1100721,6843731,91.20%
GA,Georgia,FL|AL|TN|NC|SC,10736059,190050,59425,57513,619818,6107025,75.10%
HI,Hawaii,,1412687,7859,10932,6423,97664,549830,91.90%
ID,Idaho,MT|WY|UT|NV|OR|WA,1826156,49566,83569,82643,81493,4349253,70.60%
IL,Illinois,IN|KY|MO|IA|WI,12659682,146487,57914,55519,901572,9708304,88.50%
IN,Indiana,MI|OH|KY|IL,6745354,114019,36420,35826,379133,6043191,72.40%
IA,Iowa,MN|WI|IL|MO|NE|SD,3179849,28494,56273,55857,195858,14652946,64.00%
KS,Kansas,NE|MO|OK|CO,2910357,52634,82278,81759,174183,9502727,74.20%
KY,Kentucky,IN|OH|WV|VA|TN|MO|IL,4499692,81058,40408,39486,215586,4126185,58.40%
LA,Louisiana,TX|AR|MS,4645184,116831,52378,43204,264853,2225803,73.20%
ME,Maine,NH,1345790,15371,35380,30843,67905,553830,38.70%
MD,Maryland,VA|WV|PA|DC|DE,6083116,103109,12406,9707,430388,1743357,87.20%
MA,Massachusetts,RI|CT|NY|NH|VT,6976597,37152,10554,7800,599092,413954,92.00%
MI,Michigan,WI|IN|OH,10045029,65742,96714,56539,543977,4312320,74.60%
MN,Minnesota,WI|IA|SD|ND,5700671,79307,86936,79627,383094,9794912,73.30%
MS,Mississippi,LA|AR|TN|AL,2989260,35494,48432,46923,119497,4089158,49.30%
MO,Missouri,IA|IL|KY|TN|AR|OK|KS|NE,6169270,72995,69707,68742,334286,5818727,70.40%
MT,Montana,ND|SD|WY|ID,1086759,22133,147040,145546,52470,2238979,55.90%
NE,Nebraska,SD|IA|MO|KS|CO|WY,1952570,22234,77348,76824,127941,11779728,73.10%
NV,Nevada,ID|UT|AZ|CA|OR,3139658,76888,110572,109781,178622,454344,94.20%
NH,New Hampshire,VT|ME|MA,1371246,64135,9349,8953,89152,168871,60.30%
NJ,New Jersey,DE|PA|NY,8936574,57505,8723,7354,648984,866719,94.70%
NM,New Mexico,AZ|CO|OK|TX,2096640,97580,121590,121298,104349,2564863,77.40%
NY,New York,NJ|PA|VT|MA|CT,19440469,76207,54555,47126,1740745,3653431,87.90%
NC,North Carolina,VA|TN|GA|SC,10611862,152238,53819,48618,590711,8210497,66.10%
ND,North Dakota,MN|SD|MT,761723,13272,70698,69001,57106,4090864,59.90%
OH,Ohio,PA|WV|KY|IN|MI,11747694,173405,44826,40861,701438,5459380,77.90%
OK,Oklahoma,KS|MO|AR|TX|NM|CO,3954821,71269,69899,68595,206254,5054570,66.20%
OR,Oregon,CA|NV|ID|WA,4301089,61383,98379,95988,253036,3691554,81.00%
PA,Pennsylvania,NY|NJ|DE|MD|WV|OH,12820878,236377,46054,44743,817216,4859336,78.70%
RI,Rhode Island,CT|MA,1056161,4223,1545,1034,63903,63825,90.70%
SC,South Carolina,GA|NC,5210095,105601,32020,30061,247711,1909099,66.30%
SD,South Dakota,ND|MN|IA|NE|WY|MT,903027,21130,77116,75811,53692,4877484,56.70%
TN,Tennessee,KY|VA|NC|GA|AL|MS|AR|MO,6897576,99159,42144,41235,382275,2561984,66.40%
TX,Texas,NM|OK|AR|LA,29472295,588696,268596,261232,1896063,16498398,84.70%
UT,Utah,ID|WY|CO|AZ|NV,3282115,72856,84897,82170,189809,1253154,90.60%
VT,Vermont,NY|NH|MA,628061,5872,9616,9217,34973,581773,38.90%
VA,Virginia,NC|TN|KY|WV|MD|DC,8626207,307822,42775,39490,557144,2684393,75.50%
WA,Washington,ID|OR,7797095,91835,71298,66456,603772,5868196,84.00%
WV,West Virginia,OH|PA|MD|VA|KY,1778070,35264,24230,24038,78270,422871,48.70%
WI,Wisconsin,MI|MN|IA|IL,5851754,64878,65496,54158,348822,6864150,70.20%
WY,Wyoming,MT|SD|NE|CO|UT|ID,567025,132806,97813,97093,39610,1104702,64.80%
